DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01006815,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006816,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006817,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006818,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006819,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006820,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006821,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006822,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006823,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006824,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006825,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006826,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006827,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006828,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006829,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006830,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006831,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006832,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006833,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006834,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006835,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006836,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006837,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006838,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006839,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006840,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006841,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006842,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006843,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006844,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006845,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006846,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006847,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006848,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006849,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006850,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006851,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006852,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006853,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006854,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006855,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006856,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006857,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006858,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006859,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006860,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006861,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006862,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006863,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006864,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006865,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
